intitule,entreprise,lieu,contrat,alternance,nature_contrat,salaire,date_publication,competences
Assistant Marketing (H/F),BERRY DISTRIBUTION,36 - LE BLANC,CDI,Non,Contrat travail,Mensuel de 1900.0 Euros à 2300.0 Euros,2026-09-18T15:51:41.577Z,"Analyser les performances de l'équipe et proposer des améliorations, Mettre en oeuvre des actions commerciales et promotionnelles, Mettre en place des solutions d'amélioration de la performance, Rédiger un rapport, un compte rendu d'activité"
ASSISTANT/E MARKETING ET COMMERCIAL/E (H/F),GOLDEN PALACE CASINO BSM,62 - BOULOGNE-SUR-MER,CDD - 12 Mois,Oui,Contrat apprentissage,Non précisé,2026-09-18T10:24:39.635Z,"Marketing des réseaux sociaux, Analyser les performances de l'équipe et proposer des améliorations, Mettre en place des solutions d'amélioration de la performance, Utiliser les outils numériques"
TELEOPERATEUR/TRICE - ASSISTANT.E ADMINISTRATIF/IVE (H/F),N.G.I. CONSULTING,38 - Moirans,Intérim - 6 Mois,Non,Contrat travail,Horaire de 12.31 Euros à 12.5 Euros,2026-09-17T17:43:59.024Z,Analyser les performances de l'équipe et proposer des améliorations
Alternant Assistant Chef de produits International (H/F),INNOTHERA CORPORATE SERVICES,94 - ARCUEIL,CDD - 12 Mois,Oui,Contrat apprentissage,Non précisé,2026-09-17T16:00:39.857Z,"Analyser les performances de l'équipe et proposer des améliorations, Mettre en oeuvre des actions commerciales et promotionnelles, Mettre en place des solutions d'amélioration de la performance, Rédiger un rapport, un compte rendu d'activité"
Assistant(e) Marketing & Communication #transition écologique (H/F),NANTEUROP FL,44 - ST JULIEN DE CONCELLES,CDI,Oui,Contrat apprentissage,Horaire de 12.31 Euros,2026-09-16T10:32:32.290Z,"Analyser les performances de l'équipe et proposer des améliorations, Mettre en place des solutions d'amélioration de la performance"
Assistant technique commercial et marketing (H/F),BOEHRINGER INGELHEIM ANIMAL HEALTH FRANC,44 - Nantes,CDD - 3 Mois,Non,Contrat travail,Non précisé,2026-09-15T15:28:41.504Z,"Analyser les performances de l'équipe et proposer des améliorations, Mettre en place des solutions d'amélioration de la performance"
Assistant marketing (H/F),MANPOWER FRANCE,06 - Nice,Intérim - 1 Mois,Non,Contrat travail,Horaire de 16.65 Euros,2026-09-14T20:09:32.602Z,"Analyser les performances de l'équipe et proposer des améliorations, Mettre en place des solutions d'amélioration de la performance"
Assistant Commercial/ Assistante Commerciale et Teleprospection (H/F),SIRSIT,93 - PANTIN,CDD - 6 Mois,Non,Contrat travail,Mensuel de 1867.02 Euros - smic,2026-09-11T17:45:51.573Z,Analyser les performances de l'équipe et proposer des améliorations
Assistant technique commercial et marketing (H/F),BOEHRINGER INGELHEIM ANIMAL HEALTH FRANC,44 - Treillières,CDD - 3 Mois,Non,Contrat travail,Non précisé,2026-09-11T10:30:08.043Z,"Analyser les performances de l'équipe et proposer des améliorations, Mettre en place des solutions d'amélioration de la performance"
Assistant/e communication / marketing / admin (H/F),Non précisé,83 - OLLIOULES,CDI,Non,Contrat travail,Mensuel de 1868.0 Euros,2026-09-10T08:45:15.642Z,"Analyser les performances de l'équipe et proposer des améliorations, Mettre en place des solutions d'amélioration de la performance"
Assistant marketing F/H,SYNERGIE,66 - Thuir,Intérim - 3 Mois,Non,Contrat travail,Annuel de 22405.0 Euros à 25000.0 Euros,2026-09-08T15:39:59.167Z,"Analyser les performances de l'équipe et proposer des améliorations, Mettre en place des solutions d'amélioration de la performance"
