intitule,entreprise,lieu,contrat,alternance,nature_contrat,salaire,date_publication,competences,source
Alternant Assistant Chef de produits International (H/F),INNOTHERA CORPORATE SERVICES,94110 Arcueil,Apprentissage,Oui,Apprentissage,Non précisé,2026-09-17T16:00:39.857Z,,France Travail
Alternance Assistant(e) Marketing & Communication - Paris (F/H),Non précisé,75001 Paris,Professionnalisation,Oui,Professionnalisation,Non précisé,2026-09-17T12:22:12.691Z,,France Travail
Assistant(e) Marketing & Communication #transition écologique (H/F),NANTEUROP FL,44450 Saint-Julien-de-Concelles,Apprentissage,Oui,Apprentissage,Non précisé,2026-09-16T10:32:32.290Z,,France Travail
Alternance Assistant commercial et marketing - Paron (F/H),Non précisé,89100 Paron,Professionnalisation,Oui,Professionnalisation,Non précisé,2026-09-10T12:29:12.640Z,,France Travail
Alternance - Assistant(e) Marketing & Communication Digitale (H/F),CUISINE TRADITIONNELLE COLLECTIVITES,13120 Gardanne,Apprentissage,Oui,Apprentissage,Non précisé,2026-09-08T14:34:37.799Z,,France Travail
Alternant(e) Chargé(e) Communication F/H - Freeland,Freeland,92400 Courbevoie,Professionnalisation,Oui,Professionnalisation,Non précisé,2026-09-07T21:15:12.682Z,,France Travail
Alternance - Assistant(e) Marketing Digital F/H (H/F),PARIS FASHION SHOPS - PFS,93210 ST DENIS,Apprentissage,Oui,Apprentissage,Non précisé,2026-09-07T14:56:12.879Z,,France Travail
Alternance assistant vendeur et marketing - Montpellier (F/H),Non précisé,34000 Montpellier,Professionnalisation,Oui,Professionnalisation,Non précisé,2026-09-05T11:54:05.862Z,,France Travail
ASSISTANT MARKETING INNOVATION - Stage (H/F),Savencia SA,35220 Châteaubourg,Apprentissage,Oui,Apprentissage,Non précisé,2026-09-05T00:32:58.342Z,,France Travail
Alternance Marketing Digital &communication B2B - H/F,UNIK,59700 Marcq-en-Barœul,Professionnalisation,Oui,Professionnalisation,Non précisé,2026-09-04T14:35:30.253Z,,France Travail
